Name,Salary
Jadeveon Clowney,"$2,500,000"
Quincy Williams,"$6,000,000"
Rock Ya-Sin,"$4,000,000"
Nick Scott,"$4,000,000"
Jevon Holland,"$2,179,103"
Grant Delpit,"$1,866,266"
Justin Hardee,"$2,250,000"
Denzel Perryman,"$2,600,000"
Elandon Roberts,"$3,500,000"
Solomon Thomas,"$2,350,000"
Christian Barmore,"$2,130,561"
John Cominsky,"$4,250,000"
Danny Johnson,"$2,500,000"
Myles Murphy,"$3,146,816"
Juan Thornhill,"$7,000,000"
Jahlani Tavai,"$2,200,000"
Richie Grant,"$2,067,091"
Poona Ford,"$2,250,000"
Azeez Al-Shaair,"$5,000,000"
Bryan Bresee,"$3,065,890"
Levi Onwuzurike,"$2,037,223"
Nolan Smith,"$2,998,102"
Ogbonnia Okoronkwo,"$6,333,333"
Al Woods,"$2,250,000"
Trevon Moehrig,"$1,973,752"
Darrell Taylor,"$1,691,127"
Felix Anudike-Uzomah,"$2,954,454"
Noah Igbinoghene,"$2,813,553"
Tavierre Thomas,"$2,250,000"
Justin Houston,"$6,000,000"
Damontae Kazee,"$3,000,000"
Antoine Winfield Jr.,"$1,826,796"
Logan Hall,"$2,329,114"
Chris Board,"$2,500,000"
Christian Watson,"$2,310,258"
Kevin Givens,"$2,100,000"
Tashaun Gipson,"$2,900,000"
Roger McCreary,"$2,291,402"
Nathan Shepherd,"$5,000,000"
Dean Lowry,"$4,250,000"
Quinton Jefferson,"$3,600,000"
Jalen Pitre,"$2,238,610"
Jackson Carman,"$1,862,487"
Tyrel Dodson,"$2,010,000"
Dane Jackson,"$2,010,000"
Josh Metellus,"$4,000,000"
Arnold Ebiketie,"$2,204,672"
Tyus Bowser,"$5,500,000"
Efe Obada,"$2,000,000"
J.T. Gray,"$3,366,667"
Kyler Gordon,"$2,170,732"
Asante Samuel Jr.,"$1,805,737"
Anthony Nelson,"$5,000,000"
Boye Mafe,"$2,140,563"
Jordan Elliott,"$1,147,108"
Duke Riley,"$2,500,000"
Tanoh Kpassagnon,"$2,500,000"
Andrew Booth Jr.,"$2,076,456"
Sean Bunting,"$3,500,000"
Demetrius Flannigan-Fowles,"$1,885,000"
A.J. Epenesa,"$1,469,325"
Daniel Ekuale,"$1,700,000"
Azeez Ojulari,"$1,693,727"
George Odum,"$3,166,667"
Broderick Washington,"$5,250,000"
Tyler Matakevich,"$2,500,000"
Lavonte David,"$4,500,000"
Jaylinn Hawkins,"$990,479"
Khalen Saunders,"$4,100,000"
Tremon Smith,"$2,500,000"
Raekwon Davis,"$1,413,875"
David Ojabo,"$1,977,280"
Jakeem Grant,"$3,333,333"
Scott Quessenberry,"$2,100,000"
Deshon Elliott,"$1,770,000"
Taylor Rapp,"$1,770,000"
Jeremiah Owusu-Koramoah,"$1,619,054"
Josh Paschal,"$1,933,913"
Jalen Reeves-Maybin,"$1,750,000"
DeShawn Williams,"$1,750,000"
Joey Porter Jr.,"$2,404,586"
Neville Gallimore,"$1,170,112"
Luke Gifford,"$2,000,000"
Kevin Byard,"$12,550,000"
Nick Mullens,"$2,000,000"
Tershawn Wharton,"$2,025,000"
Josh Uche,"$1,347,334"
Phidarian Mathis,"$1,876,593"
Ronald Darby,"$1,700,000"
