Name,RecievingYards,AvgRecievingYards,ReceivingTouchdowns,RecievingYardsPerGame
Michael Mayer,251,11.4,1,20.9
Mike Williams,249,13.1,1,83
Tony Pollard,248,5.9,0,20.7
Mack Hollins,247,14.5,0,27.4
Kylen Granson,247,12.4,1,24.7
Noah Gray,246,11.2,2,20.5
Skyy Moore,244,11.6,1,20.3
Quentin Johnston,242,9.3,1,20.2
Trenton Irwin,241,13.4,1,21.9
Jauan Jennings,240,14.1,1,21.8
Trey Palmer,239,8.9,2,19.9
Rhamondre Stevenson,238,6.3,0,19.8
Rashod Bateman,236,10.7,1,21.5
Taysom Hill,229,8.8,1,19.1
Tanner Hudson,228,8.8,0,32.6
Pat Freiermuth,227,9.5,2,28.4
Ezekiel Elliott,226,7.3,1,17.4
Allen Robinson II,225,8.3,0,17.3
Hunter Renfrow,209,9.5,0,17.4
Isiah Pacheco,209,6.3,1,17.4
D'Andre Swift,208,5.8,1,17.3
Jalen Tolbert,200,11.8,1,16.7
KhaDarel Hodge,199,18.1,0,16.6
AJ Dillon,198,9.9,0,16.5
Jerome Ford,196,6.5,3,16.3
Jameson Williams,195,15,2,24.4
Braxton Berrios,194,9.7,1,17.6
Tyjae Spears,192,5.8,0,16
Donald Parham Jr.,191,9.1,4,15.9
Kyren Williams,190,8.6,3,23.8
Zach Ertz,187,6.9,1,26.7
Zay Jones,186,10.3,2,31
Derrick Henry,185,8.4,0,15.4
Hayden Hurst,184,10.2,1,20.4
Mike Gesicki,182,8.7,1,14
Calvin Austin III,180,10.6,1,13.8
Durham Smythe,178,9.9,0,16.2
Pharaoh Brown,174,21.8,1,13.4
Alexander Mattison,174,6.4,3,14.5
Kenneth Walker III,173,10.2,1,17.3
Cedrick Wilson Jr.,171,14.3,2,17.1
Jake Bobo,171,11.4,2,14.3
Aaron Jones,169,8.9,1,24.1
Saquon Barkley,168,6,4,18.7
Dyami Brown,168,14,1,12.9
Raheem Mostert,166,7.9,2,13.8
Kyle Philips,166,12.8,0,23.7
Chuba Hubbard,165,5.9,0,13.8
Van Jefferson,164,11.7,0,13.7
Connor Heyward,163,7.8,0,12.5
Tre Tucker,161,20.1,0,14.6
Xavier Gipson,159,13.3,0,13.3
Byron Pringle,156,12,0,12
Jerick McKinnon,155,8.2,3,15.5
Javonte Williams,155,5.3,2,14.1
Isaiah Hodgins,154,10.3,2,12.8
Jamison Crowder,151,10.1,1,11.6
Colby Parkinson,150,10.7,0,12.5
Austin Hooper,149,9.9,0,12.4
Najee Harris,149,6.2,0,11.5
Drew Ogletree,147,16.3,2,16.3
Daniel Bellinger,145,11.2,0,12.1
Zack Moss,144,7.2,1,13.1
Foster Moreau,143,11,1,14.3
Juwan Johnson,142,7.9,1,17.8
Zach Charbonnet,142,5.9,0,12.9
Kadarius Toney,139,6.3,1,12.6
John Metchie III,138,11.5,0,12.5
Jonathan Taylor,137,8.6,1,19.6
Terrace Marshall Jr.,134,7.4,0,16.8
Adam Trautman,131,7.7,2,10.9
John Bates,131,8.7,0,10.1
Roschon Johnson,131,5.5,0,13.1
Gus Edwards,130,13,0,10.8
Kenneth Gainwell,130,5.7,0,11.8
Isaiah Likely,129,9.9,0,10.8
Miles Sanders,126,5.7,0,11.5
D'Ernest Johnson,124,15.5,0,10.3
Greg Dortch,124,11.3,1,10.3
Brevin Jordan,124,13.8,1,13.8
